"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Rocky Gale","Padres","37","117","110","21","3","0","5","10","12","6","26","0","0",".192",".240",".361",".601",".257","999.0","10533"
"Austin Romine","Yankees","64","220","202","45","10","0","3","18","22","12","46","0","0",".224",".269",".320",".589",".256","652.3","5491"
"Luis Torrens","Padres","42","150","133","28","5","1","2","12","12","13","33","0","0",".209",".284",".307",".591",".256","700.7","15905"
"Alberto Rosario","Cardinals","45","117","107","22","5","0","2","10","10","8","24","0","0",".204",".266",".311",".576",".254","999.0","7125"
"Juan Graterol","Angels","35","109","101","24","5","0","1","10","13","5","20","0","0",".235",".267",".318",".585",".254","999.0","5398"
"A.J. Pierzynski","Braves","10","34","32","7","2","0","0","2","3","1","4","0","0",".232",".259",".325",".584",".251","999.0","746"
"Chad Wallach","Marlins","32","106","98","19","4","0","2","8","9","7","29","0","0",".198",".257",".306",".563",".248","748.0","17161"
"Kyle Higashioka","Yankees","29","101","92","16","3","0","3","11","10","9","25","0","0",".178",".251",".302",".553",".245","999.0","5517"
"A.J. Jimenez","Rangers","50","146","133","25","4","0","3","11","13","8","48","0","0",".186",".241",".299",".540",".237","999.0","7077"
"Luke Maile","Blue Jays","31","111","104","20","5","0","1","11","10","4","30","0","0",".193",".229",".284",".513",".223","686.5","13355"
"Christian Bethancourt","Padres","13","22","21","4","1","0","0","1","2","1","7","0","0",".195",".218",".272",".490",".213","999.0","10028"
"Jarrod Saltalamacchia","Blue Jays","12","35","31","4","1","0","1","3","3","3","15","0","0",".130",".215",".234",".449",".204","999.0","5557"
