"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Bryan Holaday","Marlins","77","245","225","49","10","0","4","19","26","12","45","3","0","1",".218",".263",".316",".579",".253","3.6","-0.5","0.3","999.0","11287"
"Chuckie Robinson","Astros","86","348","326","66","14","1","8","33","33","19","99","2","3","4",".202",".250",".325",".575",".252","5.8","-1.2","0.6","999.0","sa918471"
"Tomas Nido","Mets","100","374","354","77","17","1","7","35","38","14","81","2","0","0",".218",".249",".331",".579",".251","2.0","-0.2","0.2","999.0","13755"
"Brady Policelli","Tigers","98","386","358","71","16","3","7","34","30","22","100","4","12","9",".198",".252",".318",".570",".251","-5.3","-1.4","-0.8","999.0","sa918279"
"Juan Graterol","Reds","68","219","208","51","8","0","1","19","16","5","21","3","0","0",".245",".271",".298",".569",".250","0.1","-0.1","-0.2","999.0","5398"
"Max Pentecost","Blue Jays","82","346","328","69","12","1","9","32","35","13","105","2","1","1",".210",".243",".335",".578",".250","-4.0","-0.4","-0.6","999.0","sa601924"
"Jack Kruger","Angels","99","435","405","88","15","1","5","39","30","24","100","4","7","4",".217",".267",".296",".564",".250","-2.1","-0.5","-0.3","999.0","sa918429"
"Johnny Monell","","79","286","261","52","10","1","5","27","26","21","77","2","1","1",".199",".262",".303",".565",".249","-2.8","-0.3","-0.4","999.0","2783"
"Myles Schroder","","93","348","322","67","13","2","6","30","27","14","97","7","5","3",".208",".255",".317",".572",".249","5.0","-0.4","-1.0","999.0","sa392193"
"Jesus Sucre","Orioles","64","186","171","39","6","0","2","14","18","8","28","2","1","0",".228",".268",".298",".566",".248","0.8","0.1","0.0","999.0","5942"
"Logan Moore","","68","246","220","41","7","1","5","22","19","22","78","1","0","0",".186",".261",".295",".557",".247","2.6","-0.1","0.0","999.0","sa598265"
"Colton Plaia","Mets","61","219","199","39","8","0","4","20","18","16","70","1","0","0",".196",".258",".296",".555",".247","-1.2","-0.1","-0.2","999.0","sa658920"
"Nick Ciuffo","Rays","86","337","314","66","13","0","6","29","28","19","99","0","1","1",".210",".253",".309",".562",".247","3.3","-0.4","0.2","999.0","16291"
"Steven Baron","Pirates","60","220","204","44","7","0","2","19","14","13","55","2","1","1",".216",".269",".279",".549",".246","0.6","-0.3","-0.2","999.0","9787"
"Rocky Gale","Dodgers","98","349","324","72","13","2","3","29","29","15","65","3","1","1",".222",".261",".302",".563",".246","5.6","-0.4","0.3","999.0","10533"
"Jose Trevino","Rangers","89","364","347","76","13","1","6","35","31","14","58","1","1","2",".219",".250",".314",".564",".246","6.2","-0.8","-0.1","601.0","16725"
"Tuffy Gosewisch","Padres","75","269","242","46","12","1","4","23","21","19","67","4","0","1",".190",".258",".298",".556",".246","3.8","-0.5","0.0","999.0","5277"
"Rodrigo Vigil","Marlins","78","288","271","62","10","1","2","24","19","8","42","5","1","1",".229",".263",".295",".558",".245","2.6","-0.4","0.1","999.0","sa547818"
"Jonathan Morales","Braves","93","346","321","70","13","1","3","30","26","16","60","4","1","3",".218",".262",".293",".554",".244","6.3","-1.2","0.0","999.0","sa875808"
"David Rodriguez","Rays","100","392","363","75","16","2","4","33","31","22","103","4","3","2",".207",".258",".295",".552",".244","6.9","-0.4","0.4","999.0","sa735825"
"Jonah Heim","Athletics","114","461","428","88","18","1","6","40","36","27","104","2","2","1",".206",".254",".294",".549",".243","3.2","-0.2","0.0","999.0","sa737843"
"Sebastian Rivero","Royals","76","304","287","62","12","0","5","27","24","11","77","1","0","1",".216",".245",".310",".555",".242","-0.5","-0.5","-0.5","999.0","sa917021"
"Ali Sanchez","Mets","90","343","327","70","13","1","5","30","27","14","54","0","3","3",".214",".245",".306",".551",".240","6.5","-0.8","0.3","999.0","sa828198"
"Jeff Mathis","Rangers","56","183","166","32","7","1","2","13","15","14","58","1","0","0",".193",".258",".283",".541",".240","3.7","-0.1","0.0","599.5","3448"
"Jhonatan Solano","","39","145","134","30","5","0","1","11","11","6","19","2","0","0",".224",".264",".284",".547",".240","-1.1","-0.1","-0.4","999.0","7515"
"Alberto Rosario","Diamondbacks","52","179","168","38","6","0","1","14","11","7","33","1","1","1",".226",".260",".280",".540",".239","0.7","-0.3","-0.3","999.0","7125"
"Alfredo Gonzalez","White Sox","72","270","243","48","6","0","3","23","16","20","79","3","2","1",".198",".265",".259",".524",".238","1.6","-0.2","-0.2","999.0","14267"
"Josh Thole","Dodgers","34","110","98","19","3","0","1","8","6","9","23","1","1","0",".194",".266",".255",".521",".238","-1.5","0.1","-0.3","999.0","9689"
"Roberto Pena","Angels","59","216","203","43","7","0","3","17","15","8","41","2","0","1",".212",".248",".291",".538",".237","2.6","-0.5","0.0","999.0","sa548359"
"Daniel Salters","Indians","81","309","285","55","10","0","5","26","22","16","100","5","1","1",".193",".247",".281",".527",".235","1.3","-0.4","-0.6","999.0","sa829475"
"Jarrod Saltalamacchia","","71","237","210","32","7","1","6","20","21","24","91","1","1","0",".152",".241",".281",".521",".235","-3.8","0.1","-0.8","999.0","5557"
"Bobby Wilson","Tigers","63","208","189","36","7","0","4","17","20","13","54","1","0","0",".190",".244",".291",".535",".234","1.4","-0.1","-0.2","999.0","6564"
"Brian Navarreto","Twins","98","368","348","72","15","0","4","30","25","12","76","5","0","1",".207",".243",".284",".528",".233","11.1","-0.6","0.3","999.0","sa737817"
"Chris Okey","Reds","86","329","303","55","10","1","6","27","25","20","112","4","2","0",".182",".241",".281",".521",".233","-0.7","0.2","-0.9","999.0","sa738505"
"Jackson Williams","","52","195","178","35","5","0","2","16","11","14","44","1","0","0",".197",".258",".258",".516",".231","0.3","-0.1","-0.4","999.0","8524"
"Jordan Pacheco","","58","161","147","29","6","0","1","12","9","10","33","2","0","0",".197",".255",".259",".513",".231","-5.6","-0.1","-0.9","999.0","2677"
"Matt Winn","Giants","93","357","326","54","13","1","8","31","28","27","163","2","0","0",".166",".233",".285",".518",".231","-0.6","-0.1","-0.8","999.0","sa858059"
"Mac James","Rays","72","270","248","51","7","0","1","22","14","18","54","1","1","2",".206",".260",".246",".506",".229","-5.1","-0.8","-1.1","999.0","sa829039"
"Jason Delay","Pirates","63","243","218","41","5","1","1","20","13","16","57","6","1","0",".188",".261",".234",".495",".229","1.4","0.1","-0.4","999.0","sa857222"
"Chris Stewart","Padres","49","149","134","26","4","1","0","12","7","11","21","1","0","1",".194",".259",".239",".497",".227","-2.4","-0.5","-0.7","999.0","3878"
"Parker Morin","Reds","58","194","179","35","7","1","2","16","13","9","49","2","1","0",".196",".240",".279",".519",".227","-3.5","0.1","-0.8","999.0","sa658263"
"Sharif Othman","Marlins","62","219","203","35","6","0","3","16","15","12","77","2","0","1",".172",".226",".246",".472",".213","-4.6","-0.5","-1.2","999.0","sa578858"
"B.J. Lopez","Marlins","52","186","168","28","3","0","0","13","6","14","53","1","0","1",".167",".234",".185",".418",".196","1.9","-0.5","-0.7","999.0","sa694185"
