"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Osvaldo Abreu","","119","472","430","89","18","3","7","45","38","33","136","4","7","6",".207",".269",".312",".580",".257","-5.2","-1.3","-1.2","999.0","sa657398"
"Nick Noonan","","89","325","304","69","14","1","4","30","28","16","80","1","2","2",".227",".266",".319",".585",".257","1.1","-0.6","-0.4","999.0","6880"
"Lucius Fox","Rays","118","529","477","102","16","3","5","50","33","38","150","8","22","11",".214",".281",".291",".573",".257","0.2","-0.4","-0.2","999.0","sa914200"
"Leonardo Reginatto","","93","356","329","76","13","1","3","31","26","18","76","3","4","4",".231",".275",".304",".579",".256","3.8","-1.0","-0.3","999.0","sa504970"
"Jordan Gore","Twins","101","380","344","76","11","2","3","36","25","29","104","1","4","2",".221",".281",".291",".572",".256","2.8","-0.2","-0.1","999.0","sa3004127"
"Richard Urena","Blue Jays","134","515","483","108","24","3","7","44","44","23","122","0","4","4",".224",".257",".329",".586",".254","1.5","-1.1","-0.4","999.0","16411"
"Ryan Goins","White Sox","107","339","309","66","13","1","5","30","29","23","85","0","3","2",".214",".266",".311",".576",".253","-1.1","-0.4","-0.7","999.0","9807"
"Kyle Holder","Yankees","82","350","328","75","10","2","4","31","24","16","60","2","3","4",".229",".268",".308",".576",".253","-0.7","-1.2","-0.6","999.0","sa857840"
"Sergio Alcantara","Tigers","126","528","486","111","16","3","2","46","29","34","108","1","9","8",".228",".279",".286",".565",".253","1.6","-1.8","-0.5","999.0","sa739641"
"Ray-Patrick Didder","Braves","125","491","432","82","11","6","5","47","32","37","161","16","19","9",".190",".277",".278",".555",".252","-6.6","-0.1","-1.5","999.0","sa736824"
"Jorge Mateo","Athletics","127","535","500","103","20","11","7","48","45","26","163","4","22","11",".206",".250",".332",".582",".252","-1.5","-0.3","-0.6","599.2","sa657910"
"Justin Twine","Marlins","107","412","386","85","11","6","5","36","34","14","109","7","8","6",".220",".259",".319",".577",".251","2.1","-1.0","-0.5","999.0","sa828686"
"Javier Guerra","Padres","139","495","461","88","17","8","12","46","50","28","185","0","2","0",".191",".237",".341",".577",".249","5.4","0.2","-0.1","999.0","17292"
"Blake Trahan","Reds","135","539","482","100","17","3","3","54","31","43","118","4","9","5",".207",".277",".274",".551",".248","3.1","-0.5","-0.8","999.0","17588"
"Harold Castro","Tigers","116","434","413","100","14","2","3","38","27","10","80","2","8","6",".242",".261",".308",".569",".248","6.1","-1.1","-0.4","999.0","14691"
"Sharlon Schoop","","58","212","193","38","6","1","4","19","17","14","58","2","0","2",".197",".257",".301",".558",".248","2.1","-0.9","-0.3","999.0","sa293531"
"Arquimedes Gamboa","Phillies","114","497","448","86","13","4","7","45","35","41","136","2","6","3",".192",".261",".286",".547",".245","-2.2","-0.3","-1.2","999.0","sa877497"
"Humberto Arteaga","Royals","125","492","465","108","15","2","4","41","32","16","88","2","5","6",".232",".259",".299",".558",".244","8.7","-1.7","-0.6","999.0","sa598821"
"Gift Ngoepe","Phillies","85","292","258","43","10","2","6","28","23","28","124","2","2","3",".167",".253",".291",".543",".244","3.7","-1.0","-0.3","999.0","10340"
"Jack Lopez","","110","427","399","86","11","2","7","38","30","15","113","4","11","6",".216",".250",".306",".556",".244","5.2","-0.4","-0.6","999.0","sa598270"
"Gregorio Petit","Phillies","94","326","305","68","14","1","2","28","22","15","64","1","4","2",".223",".260",".295",".555",".243","3.1","-0.2","-0.4","999.0","3812"
"Luis Marte","Braves","114","440","425","97","16","2","6","37","33","8","92","2","9","4",".228",".245",".318",".562",".243","2.1","0.0","-0.8","999.0","sa597106"
"Luis Aviles Jr.","Brewers","130","506","471","97","17","3","6","45","36","28","169","3","21","8",".206",".254",".293",".547",".241","2.9","0.7","-0.9","999.0","sa738445"
"Connor Justus","Angels","118","487","428","75","13","2","6","44","30","44","142","10","6","7",".175",".267",".257",".524",".241","2.6","-1.9","-0.7","999.0","sa873634"
"Cito Culver","","94","348","317","60","12","2","6","30","26","26","115","0","2","2",".189",".249",".297",".546",".239","2.5","-0.6","-0.4","999.0","sa548315"
"Alfredo Rodriguez","Reds","92","378","357","79","10","1","2","33","22","17","85","3","7","4",".221",".262",".272",".534",".238","3.9","-0.4","-0.7","999.0","sa922180"
"Cliff Pennington","Mets","91","264","234","45","8","1","2","23","15","24","69","1","2","1",".192",".267",".261",".528",".238","0.1","-0.1","-0.5","999.0","3395"
"Adrian Marin","","113","436","405","87","14","2","2","37","25","21","103","3","8","4",".215",".258",".274",".532",".237","3.5","-0.3","-0.7","999.0","sa657939"
"Erick Salcedo","","131","483","452","100","14","2","2","40","28","22","72","2","4","5",".221",".259",".274",".533",".236","3.0","-1.5","-1.0","999.0","sa548029"
"Kevin Merrell","Athletics","77","346","326","73","9","2","1","30","19","15","83","1","7","7",".224",".259",".273",".532",".235","-2.6","-1.6","-1.2","999.0","sa915707"
"Chris Diaz","","77","257","225","43","7","1","0","21","11","23","65","3","3","2",".191",".274",".231",".505",".235","2.3","-0.4","-0.4","999.0","sa621581"
"Dusty Coleman","","99","346","319","54","13","1","10","31","32","20","154","4","7","4",".169",".226",".310",".536",".234","7.2","-0.4","-0.4","999.0","8979"
"Allen Cordoba","Padres","77","219","203","39","4","2","4","17","17","10","66","3","3","5",".192",".239",".291",".529",".233","0.0","-1.5","-0.7","999.0","15722"
"Engelb Vielma","Orioles","106","406","371","77","9","2","0","33","18","23","93","2","8","7",".208",".255",".243",".498",".224","6.3","-1.5","-0.9","999.0","15481"
"Pete Kozma","Tigers","126","372","347","67","16","1","2","32","23","19","79","3","6","3",".193",".240",".262",".502",".224","8.1","-0.2","-0.5","999.0","2539"
"Roberto Baldoquin","Angels","81","324","302","60","7","2","2","24","20","15","92","3","4","5",".199",".242",".255",".497",".222","0.6","-1.4","-1.1","999.0","sa857538"
"Yadiel Rivera","Marlins","123","353","323","59","8","3","3","30","23","23","109","3","4","3",".183",".242",".254",".496",".222","9.8","-0.6","-0.5","999.0","11863"
