"","Name","Team","position","marginal.total.points","dollar.value","status"
"466","Nathan Karns",NA,"pitcher",-1.66,-4.56,""
"467","Matt Grace","Nationals","pitcher",-1.66,-4.58,""
"468","Melky Cabrera",NA,"outfield",-1.67,-4.59,""
"469","Richard Bleier","Orioles","pitcher",-1.67,-4.59,""
"470","Brandon Dixon","Tigers","outfield",-1.67,-4.6,""
"471","Marco Estrada",NA,"pitcher",-1.67,-4.61,""
"472","Robert Stephenson","Reds","pitcher",-1.68,-4.62,""
"473","Austin Allen","Padres","catcher",-1.69,-4.64,""
"474","Jesse Biddle","Braves","pitcher",-1.68,-4.64,""
"475","Franklin Barreto","Athletics","shortstop",-1.69,-4.65,""
"476","Jake Cave","Twins","outfield",-1.69,-4.66,""
"477","Heath Fillmyer","Royals","pitcher",-1.69,-4.67,""
"478","Jarlin Garcia","Marlins","pitcher",-1.7,-4.68,""
"479","Jose De Leon","Rays","pitcher",-1.71,-4.7,""
"480","Franchy Cordero","Padres","outfield",-1.72,-4.72,""
"481","Jeremy Hellickson",NA,"pitcher",-1.72,-4.72,""
"482","Michael Lorenzen","Reds","pitcher",-1.72,-4.73,""
"483","Spencer Kieboom","Nationals","catcher",-1.72,-4.74,""
"484","Jhonatan Solano",NA,"catcher",-1.72,-4.74,""
"485","Robert Stock","Padres","pitcher",-1.73,-4.77,""
"486","Hansel Robles","Angels","pitcher",-1.73,-4.77,""
"487","Isaac Galloway","Marlins","outfield",-1.74,-4.8,""
"488","Enyel De Los Santos","Phillies","pitcher",-1.75,-4.81,""
"489","Josh Fields","Dodgers","pitcher",-1.75,-4.81,""
"490","Mike Gerber","Giants","outfield",-1.76,-4.84,""
"491","Garrett Stubbs","Astros","catcher",-1.76,-4.85,""
"492","Emilio Pagan","Rays","pitcher",-1.76,-4.85,""
"493","Dylan Covey","White Sox","pitcher",-1.76,-4.86,""
"494","Edinson Volquez","Rangers","pitcher",-1.77,-4.87,""
"495","Ronny Rodriguez","Tigers","shortstop",-1.78,-4.91,""
"496","Bryan Shaw","Rockies","pitcher",-1.79,-4.91,""
"497","Dan Winkler","Braves","pitcher",-1.79,-4.92,""
"498","Drew Butera",NA,"catcher",-1.79,-4.93,""
"499","Yohander Mendez","Rangers","pitcher",-1.79,-4.93,""
"500","Pedro Severino","Nationals","catcher",-1.8,-4.94,""
"501","Bobby Wahl","Mets","pitcher",-1.79,-4.94,""
"502","Jake Marisnick","Astros","outfield",-1.8,-4.96,""
"503","Guillermo Heredia","Rays","outfield",-1.8,-4.96,""
"504","Seby Zavala","White Sox","catcher",-1.81,-4.98,""
"505","Julian Merryweather","Blue Jays","pitcher",-1.81,-4.99,""
