"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"151","Kevin Newman","Pirates","shortstop","17696",581,534,57,9,61,17,0.283,5.91,16.28
"152","Harold Ramirez","Marlins","outfield","14387",623,576,62,16,67,6,0.276,5.86,16.14
"153","Kurt Suzuki","Nationals","catcher","8259",416,376,49,17,58,1,0.267,5.79,15.95
"154","Dansby Swanson","Braves","shortstop","18314",644,571,70,19,73,11,0.252,5.77,15.89
"155","Christian Vazquez","Red Sox","catcher","9774",445,407,53,13,55,5,0.262,5.72,15.76
"156","Hunter Dozier","Royals","third_base","15117",651,582,75,22,80,4,0.251,5.69,15.67
"157","Dexter Fowler","Cardinals","outfield","4062",651,556,78,20,67,10,0.235,5.67,15.6
"158","Buster Posey","Giants","catcher","9166",508,451,55,11,55,2,0.274,5.65,15.56
"159","Justin Smoak",NA,"first_base","9054",581,490,76,28,80,1,0.239,5.6,15.4
"160","Domingo Santana","Mariners","outfield","10348",567,494,68,22,69,8,0.242,5.59,15.39
"161","Hanser Alberto","Orioles","third_base","11902",595,562,65,13,66,6,0.287,5.55,15.29
"162","Travis Shaw","Brewers","third_base","11982",595,512,73,28,82,4,0.233,5.55,15.28
"163","Ender Inciarte","Braves","outfield","4922",553,495,66,10,50,16,0.265,5.54,15.24
"164","Willson Contreras","Cubs","catcher","11609",416,363,51,16,57,3,0.257,5.51,15.17
"165","Kyle Seager","Mariners","third_base","9785",609,545,72,26,81,3,0.242,5.48,15.09
"166","Yandy Diaz","Rays","third_base","16578",637,552,74,14,70,5,0.274,5.44,14.98
"167","Austin Hays","Orioles","outfield","19363",462,429,56,20,61,9,0.258,5.37,14.78
"168","Mitch Garver","Twins","catcher","15161",410,360,54,18,56,1,0.254,5.35,14.73
"169","Giovanny Urshela","Yankees","third_base","10681",581,537,70,19,72,3,0.267,5.3,14.6
"170","Howie Kendrick","Nationals","outfield","4229",413,374,53,14,53,4,0.299,5.3,14.59
"171","Yadier Molina","Cardinals","catcher","7007",448,413,49,13,53,4,0.263,5.29,14.57
"172","Kolten Wong","Cardinals","second_base","12532",616,538,67,13,65,17,0.266,5.29,14.55
"173","J.D. Davis","Mets","outfield","16219",504,452,60,21,68,3,0.263,5.25,14.45
"174","Mauricio Dubon","Giants","shortstop","16530",581,541,58,14,62,14,0.266,5.23,14.38
"175","Brandon Lowe","Rays","second_base","18882",609,540,74,25,80,7,0.247,5.22,14.38
"176","Scott Kingery","Phillies","outfield","17975",560,512,59,17,65,14,0.239,5.17,14.24
"177","Victor Reyes","Tigers","outfield","15487",504,472,53,9,53,14,0.273,5,13.76
"178","Brett Gardner",NA,"outfield","9927",546,479,72,16,53,11,0.248,4.97,13.68
"179","Kole Calhoun",NA,"outfield","11200",560,486,72,23,66,4,0.239,4.86,13.38
"180","Adam Frazier","Pirates","outfield","15223",567,508,67,10,55,7,0.277,4.86,13.37
"181","Nathaniel Lowe","Rays","dh","19566",483,420,63,20,64,2,0.263,4.85,13.35
"182","Dee Gordon","Mariners","second_base","8203",560,524,62,5,43,26,0.274,4.84,13.33
"183","Mike Tauchman","Yankees","outfield","15274",560,495,67,15,62,10,0.247,4.83,13.28
"184","Carter Kieboom","Nationals","shortstop","19958",623,550,69,18,70,5,0.261,4.81,13.25
"185","Tommy Edman","Cardinals","third_base","19470",490,451,53,11,54,14,0.274,4.8,13.22
"186","Garrett Cooper","Marlins","outfield","15279",610,547,63,19,70,1,0.262,4.79,13.2
"187","Luis Arraez","Twins","second_base","18568",574,517,70,6,61,6,0.312,4.75,13.08
"188","Jesse Winker","Reds","outfield","13590",462,398,59,16,54,3,0.28,4.69,12.91
"189","Sam Hilliard","Rockies","outfield","17954",441,400,52,17,55,13,0.248,4.61,12.7
"190","Evan Longoria","Giants","third_base","9368",560,510,64,21,72,3,0.253,4.52,12.43
