"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Joe Jackson","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".297",".345",".643",".283","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa550375"
"Chris Rabago","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".297",".349",".646",".283","","60","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829062"
"Juan Kelly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".288",".358",".646",".283","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657541"
"Reese McGuire","Blue Jays","23","87","78","18","3","0","2","9","8","7","18","1","1","0","",".228",".292",".352",".644",".283","","76","0.1","-0.3","","-2.4","1.6","0.2","","599.9","15674"
"Dan Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".301",".337",".637",".283","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","9968"
"Martin Maldonado","","81","312","281","63","13","1","8","30","32","18","75","7","1","1","",".225",".286",".362",".648",".283","","75","-0.7","3.3","","-9.9","10.0","1.0","","578.6","6887"
"Garrett Stubbs","Astros","8","30","27","6","1","0","0","3","3","3","6","0","0","0","",".232",".301",".340",".640",".283","","80","0.0","0.0","","-0.7","0.6","0.1","","999.0","sa827172"
"Arden Pabst","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".280",".370",".650",".282","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858812"
"Matt McBride","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".279",".369",".649",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","9373"
"Jhon Nunez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".294",".349",".643",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736923"
"Kade Scivicque","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".291",".354",".646",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875053"
"Chadwick Tromp","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".295",".345",".640",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa746793"
"Juan Centeno","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".296",".348",".644",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","7168"
