"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Zack Godley","Diamondbacks","7","6","4.12","19","19","0","113.0","110","52","13","109","44","1.37","8.67","3.50","4.02","1.9","1.9","133.5","14862"
"Jimmy Nelson","Brewers","4","4","4.21","11","11","0","66.0","64","31","8","65","23","1.32","8.89","3.13","4.02","1.2","1.0","292.1","10547"
"Alex Claudio","Rangers","3","3","3.93","0","65","13","65.0","69","28","6","48","20","1.38","6.60","2.81","4.02","0.5","0.6","322.7","12890"
"Brandon Kintzler","Nationals","3","3","3.97","0","55","2","55.0","59","24","6","40","16","1.37","6.57","2.67","4.02","0.3","0.3","464.9","9939"
"Steven Matz","Mets","2","2","4.01","6","6","0","37.0","36","16","5","32","11","1.30","7.96","2.74","4.02","0.6","0.5","350.4","13361"
"Madison Younginer","Braves","0","0","3.95","0","1","0","1.0","1","0","0","1","0","1.37","8.95","3.93","4.02","0.0","0.1","999.0","10636"
"Austin Adams","Nationals","1","1","3.77","0","15","0","15.0","12","6","1","19","10","1.44","11.21","5.79","4.03","0.1","0.1","999.0","13801"
"Justin Grimm","Cubs","2","2","3.94","0","40","0","40.0","35","18","5","44","18","1.34","9.91","4.14","4.03","0.3","0.3","999.0","11720"
"Derek Law","Giants","2","2","3.92","0","40","0","40.0","38","17","5","36","15","1.32","8.06","3.29","4.03","0.1","0.2","683.0","13133"
"Adam Liberatore","Dodgers","1","0","3.79","0","10","0","10.0","9","4","1","10","4","1.28","9.33","3.50","4.03","0.1","0.0","999.0","10637"
"Aaron Loup","Blue Jays","3","2","3.82","0","55","0","55.0","51","23","6","54","23","1.34","8.76","3.70","4.03","0.4","0.5","999.0","10343"
"Edgar Santana","Pirates","1","1","4.09","0","30","0","30.0","30","14","3","28","11","1.37","8.26","3.39","4.03","0.2","0.1","999.0","17355"
"Blake Wood","Angels","2","2","3.82","0","40","0","40.0","36","17","5","39","17","1.33","8.82","3.81","4.04","0.2","0.2","741.0","1345"
"Trevor May","Twins","1","1","4.05","0","15","0","15.0","14","7","2","16","5","1.25","9.46","2.95","4.04","0.1","0.1","662.8","6398"
"Marc Rzepczynski","Mariners","2","2","3.74","0","40","0","40.0","38","17","4","37","20","1.44","8.41","4.40","4.04","0.2","0.3","999.0","6612"
"Johnny Cueto","Giants","11","10","3.92","29","29","0","179.0","177","78","22","150","51","1.27","7.57","2.56","4.04","2.4","2.5","151.3","6893"
"Yaisel Sierra","Dodgers","0","0","3.82","0","1","0","1.0","1","0","0","1","0","1.34","8.47","3.70","4.04","0.0","0.1","999.0","sa909930"
"Luis Garcia","Phillies","3","3","3.92","0","55","0","55.0","52","24","6","54","25","1.40","8.79","4.12","4.04","0.4","0.3","647.8","6984"
"Zac Rosscup","","1","0","3.93","0","10","0","10.0","9","4","1","12","4","1.28","10.38","3.73","4.04","0.1","0.0","999.0","9419"
"Blake Cooper","Cubs","0","0","3.88","0","1","0","1.0","1","0","0","1","0","1.39","8.33","3.98","4.04","0.0","0.1","999.0","sa549089"
"Colten Brewer","Padres","1","1","3.94","0","20","0","20.0","20","9","2","18","8","1.36","8.01","3.48","4.04","0.1","0.0","999.0","sa597829"
"Giovanny Gallegos","Yankees","1","1","3.96","0","25","0","25.0","22","11","4","28","9","1.23","10.24","3.12","4.04","0.2","0.2","999.0","14986"
"Kyle Fischer","Marlins","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.39","7.35","3.48","4.05","0.0","0.1","999.0","sa829490"
"Alec Mills","Cubs","2","2","3.96","2","27","0","34.0","33","15","4","31","10","1.26","8.09","2.66","4.05","0.3","0.3","999.0","13834"
"Brian Duensing","Cubs","2","2","3.86","0","35","0","35.0","33","15","4","33","13","1.32","8.43","3.33","4.05","0.2","0.3","999.0","4064"
"Blake Snell","Rays","10","9","3.83","28","28","0","157.0","137","67","19","164","71","1.33","9.43","4.11","4.05","2.4","2.8","217.9","13543"
"Miles Mikolas","Cardinals","8","7","4.17","21","21","0","120.0","121","56","18","111","26","1.23","8.31","1.96","4.05","1.8","1.5","321.0","9803"
"Diego Castillo","Rays","1","1","3.89","0","20","0","20.0","18","9","2","20","8","1.32","8.94","3.65","4.05","0.1","0.2","711.6","sa822882"
"Brad Wieck","Padres","0","1","3.78","0","10","0","10.0","9","4","1","11","5","1.37","10.08","4.65","4.06","0.0","0.0","999.0","sa659424"
"Masahiro Tanaka","Yankees","12","9","4.00","29","29","0","176.0","172","78","28","169","40","1.21","8.61","2.06","4.06","3.2","3.0","104.2","15764"
"Clayton Richard","Padres","10","12","3.94","31","31","0","191.0","205","84","19","139","62","1.39","6.56","2.90","4.06","2.8","2.4","505.0","3551"
"Wade LeBlanc","Pirates","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.30","7.79","2.47","4.07","0.0","0.1","999.0","5221"
"Jeff Inman","Pirates","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.38","8.17","3.39","4.07","0.0","0.0","999.0","sa328057"
"Freddy Peralta","Brewers","0","0","4.02","0","10","0","10.0","9","4","1","12","5","1.36","10.81","4.60","4.07","0.1","0.0","716.7","sa737343"
"Michael Dimock","Padres","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.30","9.11","3.40","4.07","0.0","0.1","999.0","sa526011"
"John Gant","Cardinals","1","1","4.04","2","17","0","24.0","23","11","3","23","8","1.31","8.52","3.13","4.07","0.2","0.2","999.0","13684"
"Michael Lorenzen","Reds","3","3","3.98","0","55","0","55.0","52","24","7","53","21","1.34","8.73","3.45","4.07","0.4","0.3","573.2","14843"
"Duane Below","Marlins","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.27","7.16","2.32","4.07","0.0","0.1","999.0","3124"
"Pedro Baez","Dodgers","2","2","3.92","0","45","0","45.0","40","20","6","47","16","1.25","9.40","3.27","4.08","0.2","0.2","652.0","5420"
"Dustin Richardson","Dodgers","0","0","3.81","0","1","0","1.0","1","0","0","1","0","1.32","9.00","3.73","4.08","0.0","0.1","999.0","2548"
"Sam Freeman","Braves","3","3","3.92","0","55","0","55.0","51","24","6","55","27","1.42","9.07","4.46","4.08","0.3","0.3","999.0","6832"
"Julio Urias","Dodgers","2","2","3.81","6","6","0","35.0","32","15","4","35","14","1.32","8.93","3.67","4.08","0.5","0.6","616.8","14765"
"Matt Grace","Nationals","2","2","3.94","0","35","0","35.0","36","15","3","27","13","1.42","7.04","3.43","4.08","0.2","0.2","999.0","11449"
"Sammy Solis","Nationals","1","1","3.90","0","25","0","25.0","23","11","3","25","11","1.37","9.16","4.03","4.08","0.1","0.2","999.0","11457"
"Gerrit Cole","Astros","12","9","4.19","29","29","0","175.0","170","82","25","165","50","1.26","8.48","2.58","4.08","2.8","2.3","90.4","13125"
"Shane Greene","Tigers","3","3","4.03","0","65","26","65.0","61","29","8","65","25","1.32","8.98","3.41","4.09","0.4","0.4","243.6","10756"
"Ryan Newell","Marlins","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.39","8.20","3.86","4.09","0.0","0.1","999.0","sa658029"
"Spencer Patton","Cubs","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.34","9.87","4.12","4.09","0.0","0.1","999.0","12361"
"Hyun-Jin Ryu","Dodgers","8","7","3.95","23","23","0","124.0","121","54","16","109","38","1.28","7.89","2.73","4.09","1.8","1.7","340.1","14444"
"Jose Flores","Giants","0","0","3.98","0","0","0","1.0","1","0","0","1","0","1.36","7.52","3.41","4.09","0.0","0.0","999.0","sa503583"
"Matt Strahm","Padres","3","3","3.91","6","21","0","51.0","45","22","7","54","21","1.31","9.58","3.78","4.09","0.6","0.6","560.2","13799"
"Brent Honeywell","Rays","7","7","3.99","16","41","0","117.0","106","52","17","120","37","1.22","9.18","2.84","4.09","1.4","1.6","275.8","sa828706"
"Francis Martes","Astros","1","1","3.98","0","20","0","20.0","17","9","3","23","9","1.33","10.21","4.21","4.09","0.1","0.1","592.2","17303"
"Jason Gurka","Angels","0","0","3.79","0","1","0","1.0","1","0","0","1","0","1.30","8.10","3.18","4.09","0.0","0.1","999.0","8007"
"Jeremy Jeffress","Brewers","3","3","4.07","0","55","0","55.0","56","25","5","47","23","1.43","7.75","3.70","4.09","0.4","0.3","604.2","9490"
"Julian Merryweather","Indians","1","1","4.01","0","20","0","20.0","19","9","3","18","6","1.24","8.26","2.49","4.09","0.1","0.1","999.0","sa829363"
"Kyle Hendricks","Cubs","12","9","4.06","29","29","0","173.0","174","78","22","144","49","1.29","7.53","2.55","4.10","2.7","2.6","117.1","12049"
"Josh Osich","Giants","2","2","3.89","0","45","0","45.0","42","19","5","43","21","1.40","8.64","4.26","4.10","0.1","0.2","999.0","11528"
"Ryan Pressly","Twins","2","2","4.13","0","35","0","35.0","34","16","4","34","13","1.33","8.75","3.34","4.10","0.2","0.3","644.4","7005"
"Jake McGee","Rockies","3","3","4.19","0","55","0","55.0","52","26","8","57","19","1.31","9.38","3.18","4.10","0.5","0.6","517.0","7550"
"Yimi Garcia","Dodgers","1","1","3.98","0","20","0","20.0","18","9","3","21","6","1.20","9.50","2.80","4.10","0.1","0.1","999.0","12095"
"Jake Arrieta","","11","10","4.19","29","29","0","177.0","174","82","22","158","58","1.32","8.03","2.96","4.10","2.8","2.5","95.2","4153"
"A.J. Ramos","Mets","3","3","3.99","0","55","1","55.0","48","24","6","61","28","1.37","10.03","4.53","4.10","0.3","0.2","365.8","8350"
"Jose Torres","Padres","2","2","3.99","0","45","0","45.0","42","20","6","45","17","1.31","9.08","3.49","4.11","0.2","0.1","694.0","14957"
"Samuel Tuivailala","Cardinals","2","2","4.04","0","35","0","35.0","32","16","4","35","15","1.35","9.12","3.79","4.11","0.2","0.1","669.8","13485"
"Joe Broussard","Dodgers","0","0","3.95","0","1","0","1.0","1","0","0","1","0","1.26","9.05","3.13","4.11","0.0","0.1","999.0","sa708442"
"Rafael Montero","Mets","2","2","4.02","2","37","0","44.0","40","20","5","45","20","1.36","9.25","4.02","4.11","0.3","0.3","615.2","12760"
"Brad Peacock","Astros","6","5","4.13","10","50","0","94.0","84","43","13","103","37","1.29","9.87","3.58","4.11","1.0","0.9","213.8","5401"
"Jeremy Affeldt","Giants","0","0","3.88","0","1","0","1.0","1","0","0","1","0","1.40","6.71","3.47","4.11","0.0","0.1","999.0","583"
"Taylor Rogers","Twins","3","3","4.02","0","55","0","55.0","54","25","7","50","18","1.32","8.12","3.00","4.11","0.3","0.4","606.7","13449"
"Brad Ziegler","Marlins","3","3","3.91","0","65","25","65.0","69","28","5","43","25","1.45","5.94","3.40","4.12","0.2","0.3","406.7","7293"
"Jordan Walden","Cardinals","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.36","9.65","4.18","4.12","0.0","0.1","999.0","3271"
"Brady Rodgers","Astros","1","0","4.10","0","10","0","10.0","10","5","1","9","2","1.26","7.72","2.23","4.12","0.1","0.0","999.0","13393"
"Michael Tonkin","Twins","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.29","9.54","3.44","4.12","0.0","0.1","999.0","10315"
"Matt Bowman","Cardinals","2","2","4.08","0","40","0","40.0","42","18","4","30","14","1.39","6.76","3.08","4.12","0.2","0.1","999.0","13528"
"Adam Cimber","Padres","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.33","7.23","2.76","4.13","0.0","0.1","999.0","sa737888"
"T.J. Weir","Padres","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.36","8.26","3.53","4.13","0.0","0.1","999.0","sa829207"
"Brian Flynn","Royals","1","1","3.99","0","25","0","25.0","24","11","3","23","9","1.34","8.14","3.41","4.13","0.1","0.2","999.0","12027"
"Darren O'Day","Orioles","3","3","4.07","0","65","2","65.0","59","29","9","71","25","1.29","9.89","3.47","4.13","0.5","0.4","564.6","3321"
"Daniel Hudson","Pirates","3","3","4.14","0","65","3","65.0","62","30","8","64","27","1.38","8.86","3.80","4.13","0.3","0.2","652.0","7146"
"Scott Oberg","Rockies","2","2","4.20","0","35","0","35.0","34","16","4","34","15","1.41","8.72","3.89","4.14","0.3","0.3","999.0","13911"
"Paul Sewald","Mets","3","3","4.08","0","55","1","55.0","51","25","8","57","20","1.28","9.26","3.24","4.14","0.3","0.1","999.0","13892"
"Sean Gilmartin","Mets","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.30","8.02","2.94","4.15","0.0","0.1","999.0","12781"
"Nick Goody","Indians","3","2","4.02","0","55","2","55.0","47","25","8","63","22","1.24","10.35","3.56","4.15","0.3","0.5","618.6","13685"
"Curtis Partch","Pirates","0","0","4.17","0","1","0","1.0","1","0","0","1","0","1.42","9.27","4.39","4.15","0.0","0.0","999.0","1333"
"Wandy Peralta","Reds","3","3","3.87","0","55","0","55.0","51","24","6","54","24","1.37","8.79","4.01","4.15","0.3","0.4","720.5","14295"
"Jacob Rhame","Mets","1","1","3.99","0","15","0","15.0","13","7","2","17","6","1.29","9.94","3.83","4.15","0.1","0.1","999.0","15267"
"Heath Hembree","Red Sox","1","1","4.18","0","25","0","25.0","23","12","4","25","9","1.28","9.11","3.14","4.15","0.1","0.2","999.0","11632"
"Daniel Moskos","Padres","0","0","3.92","0","1","0","1.0","1","0","0","1","0","1.39","7.86","3.76","4.15","0.0","0.1","999.0","2858"
"Erik Davis","Nationals","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.39","9.08","4.31","4.15","0.0","0.1","999.0","8422"
"Nick Wittgren","Marlins","1","2","4.10","0","30","0","30.0","29","14","4","28","9","1.28","8.30","2.83","4.15","0.1","0.1","999.0","15594"
"Aaron Poreda","Rangers","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.36","9.18","3.77","4.16","0.0","0.1","999.0","4313"
"Shae Simmons","","0","0","4.05","0","10","0","10.0","9","5","1","10","5","1.40","9.13","4.34","4.16","0.0","0.0","712.3","14200"
"Kris Medlen","Diamondbacks","0","0","4.18","0","10","0","10.0","10","5","1","9","3","1.30","8.26","2.73","4.16","0.1","0.1","999.0","9417"
"Zach Phillips","Pirates","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.44","8.49","4.20","4.16","0.0","0.1","999.0","99"
"Nick Rumbelow","Mariners","1","1","4.06","0","25","0","25.0","24","11","3","24","10","1.33","8.79","3.49","4.16","0.1","0.1","999.0","14867"
"Mark Montgomery","Cardinals","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.32","9.26","3.58","4.17","0.0","0.1","999.0","sa598328"
"Carter Capps","Padres","2","2","4.12","0","40","0","40.0","37","18","5","40","16","1.34","8.90","3.64","4.17","0.1","0.0","616.3","12803"
"Collin McHugh","Astros","4","4","4.19","6","41","0","72.0","71","33","11","66","20","1.26","8.27","2.45","4.17","0.7","0.6","335.1","7531"
"Jack Leathersich","Pirates","1","1","4.04","0","20","0","20.0","17","9","2","24","12","1.44","10.58","5.26","4.17","0.1","0.1","999.0","12562"
"Jonathan Broxton","Cardinals","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.39","8.53","3.81","4.17","0.0","0.0","999.0","4759"
"Joey Lucchesi","Padres","0","0","4.04","0","0","0","1.0","1","0","0","1","0","1.32","7.89","3.01","4.18","0.0","0.0","999.0","sa917967"
"Dylan Floro","Cubs","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.33","6.32","2.39","4.18","0.0","0.1","999.0","13394"
"Bryan Mitchell","Padres","6","7","4.11","19","19","0","109.0","109","50","12","92","43","1.39","7.62","3.52","4.18","1.5","1.2","525.6","11479"
"Robert Zarate","Rays","0","0","3.99","0","0","0","1.0","1","0","0","1","0","1.33","8.65","3.57","4.18","0.0","0.0","999.0","sa471754"
"Dan Jennings","Rays","3","3","3.87","0","65","4","65.0","63","28","6","55","29","1.42","7.59","4.05","4.18","0.2","0.4","630.8","8073"
"Daniel Coulombe","Athletics","2","2","4.03","0","35","0","35.0","34","16","4","32","16","1.42","8.13","4.04","4.18","0.1","0.2","999.0","13293"
"Brad Brach","Orioles","3","3","4.13","0","65","15","65.0","60","30","9","69","27","1.33","9.50","3.67","4.18","0.4","0.4","229.3","6627"
"Anthony Banda","Diamondbacks","5","5","4.13","11","41","0","94.0","88","43","13","95","38","1.34","9.14","3.64","4.18","1.1","1.2","640.6","14706"
"Tyler Cyr","Giants","0","0","3.98","0","1","0","1.0","1","0","0","1","1","1.43","8.45","4.52","4.18","0.0","0.1","999.0","sa875270"
"Andrew Suarez","Giants","0","0","3.98","0","0","0","1.0","1","0","0","1","0","1.33","6.93","2.90","4.19","0.0","0.0","741.0","sa598260"
"Jake Diekman","Rangers","3","3","4.03","0","55","0","55.0","50","25","6","57","28","1.42","9.40","4.56","4.19","0.3","0.4","615.9","5003"
"Jim Johnson","Angels","3","3","4.00","0","55","0","55.0","53","24","6","48","22","1.36","7.90","3.58","4.19","0.2","0.2","563.0","3656"
"Jerry Sullivan","Padres","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.34","8.70","3.51","4.19","0.0","0.1","999.0","sa501200"
"Steven Okert","Giants","2","2","3.96","0","35","0","35.0","32","15","4","33","15","1.34","8.59","3.76","4.19","0.1","0.1","999.0","13580"
"Phil Coke","Pirates","0","0","4.13","0","1","0","1.0","1","0","0","1","0","1.42","7.75","3.59","4.19","0.0","0.1","999.0","5535"
"Trevor Bauer","Indians","11","9","4.18","29","29","0","171.0","162","79","24","169","63","1.32","8.92","3.32","4.19","2.6","2.7","145.5","12703"
"Gio Gonzalez","Nationals","12","10","4.16","32","32","0","190.0","189","88","23","170","72","1.37","8.04","3.40","4.20","2.6","2.6","143.3","7448"
"Koji Uehara","","2","2","4.12","0","35","0","35.0","32","16","6","37","10","1.21","9.46","2.63","4.20","0.2","0.2","999.0","9227"
"Nick Burdi","Pirates","0","1","4.20","0","10","0","10.0","9","5","1","10","5","1.42","9.03","4.32","4.20","0.0","0.0","999.0","sa599297"
"Brad Boxberger","Diamondbacks","3","3","4.20","0","65","26","65.0","58","30","9","73","31","1.36","10.17","4.26","4.20","0.3","0.4","324.0","10133"
"Dinelson Lamet","Padres","8","9","4.11","24","24","0","140.0","121","64","19","156","66","1.34","10.09","4.27","4.20","1.9","1.7","217.1","17186"
"Hector Neris","Phillies","3","3","4.13","0","65","21","65.0","58","30","10","73","25","1.28","10.09","3.52","4.20","0.4","0.3","144.0","11804"
"Jose Alvarez","Angels","2","2","3.90","0","45","0","45.0","43","20","6","40","15","1.29","8.00","3.07","4.20","0.2","0.3","999.0","5358"
"A.J. Schugel","Pirates","3","3","4.29","0","55","2","55.0","57","26","7","47","20","1.39","7.64","3.24","4.20","0.2","0.1","999.0","11432"
"Carlos Estevez","Rockies","2","1","4.25","0","30","0","30.0","28","14","4","31","13","1.38","9.18","3.89","4.20","0.2","0.3","999.0","14542"
"Adam Ottavino","Rockies","3","3","4.34","0","55","0","55.0","51","27","7","60","26","1.40","9.84","4.24","4.20","0.4","0.4","621.7","1247"
"Jacob Lindgren","Braves","0","0","4.05","0","10","0","10.0","9","4","1","10","5","1.44","9.38","4.68","4.21","0.0","0.0","999.0","16215"
"Trevor Richards","Marlins","0","0","4.18","0","0","0","1.0","1","0","0","1","0","1.34","7.40","2.96","4.21","0.0","0.0","745.0","sa922230"
"Diego Moreno","Rays","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.31","8.59","3.33","4.21","0.0","0.1","999.0","6238"
"Randall Delgado","Diamondbacks","2","2","4.27","0","45","0","45.0","43","21","6","45","17","1.33","9.04","3.42","4.21","0.2","0.2","999.0","5985"
"Jon Velasquez","Mets","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.32","8.25","3.16","4.21","0.0","0.1","999.0","sa496300"
