"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ryan Goins","Royals","25","98","89","22","4","0","1","9","9","7","21","0","1","1","",".243",".296",".353",".649",".283","","71","-0.1","-0.1","","-3.6","0.6","0.0","","657.3","9807"
"Jake Cronenworth","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".310",".326",".636",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857694"
"Ryan Mountcastle","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".280",".381",".660",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874734"
"Nick Gordon","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".298",".352",".649",".282","","70","0.0","0.0","","0.0","0.0","0.0","","665.2","sa828662"
"Nick Ahmed","Diamondbacks","21","82","75","18","4","0","2","8","8","5","16","1","2","1","",".237",".292",".365",".656",".281","","64","0.1","0.7","","-3.8","1.5","0.0","","677.2","12147"
"Erick Aybar","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".300",".345",".645",".280","","73","0.0","0.0","","0.0","0.0","0.0","","678.8","4082"
"Zach Osborne","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".299",".340",".639",".279","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa577885"
"Cole Tucker","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".339",".638",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828671"
"Adrian Sanchez","Nationals","11","45","42","11","2","0","1","4","4","2","9","0","1","0","",".255",".295",".348",".643",".279","","66","0.0","-0.1","","-2.0","0.2","0.0","","999.0","11338"
"Elmer Reyes","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".285",".362",".647",".279","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa506274"
"Erik Gonzalez","Indians","16","66","62","15","3","0","1","7","7","3","18","0","2","1","",".244",".277",".374",".651",".279","","68","0.0","-0.3","","-2.6","0.3","0.0","","667.7","13369"
"Tommy Edman","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".294",".346",".639",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873704"
"Jimmy Rollins","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".294",".339",".633",".278","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","971"
"Cliff Pennington","","41","160","143","33","6","1","2","15","14","13","41","1","2","1","",".232",".300",".332",".631",".278","","68","-0.3","0.3","","-6.7","1.0","0.0","","999.0","3395"
"Leonardo Reginatto","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".303",".328",".632",".278","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa504970"
"Jose Rondon","White Sox","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".250",".290",".350",".640",".278","","70","0.0","0.0","","-0.5","0.1","0.0","","999.0","14140"
"Jorge Mateo","Athletics","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".235",".281",".364",".645",".277","","71","0.0","0.0","","-0.2","0.1","0.0","","592.6","sa657910"
"Jose Guadalupe Chavez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".308",".311",".619",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa288775"
"Yairo Munoz","Cardinals","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".245",".280",".364",".644",".277","","68","0.0","0.0","","-0.3","0.1","0.0","","999.0","sa657210"
"Alcides Escobar","Royals","115","444","417","107","21","3","5","41","39","17","68","4","8","3","",".256",".289",".352",".641",".277","","67","1.2","0.5","","-16.9","6.2","0.5","","544.3","6310"
"Kristopher Negron","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".283",".353",".636",".276","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","5306"
"Fernando Tatis Jr.","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".283",".353",".636",".275","","69","0.0","0.0","","0.0","0.0","0.0","","651.4","sa919910"
"C.J Hinojosa","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".296",".333",".629",".275","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"Jack Reinheimer","Diamondbacks","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".241",".296",".330",".626",".275","","60","0.0","0.1","","-0.3","0.1","0.0","","999.0","14938"
"Anthony Phillips","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".299",".329",".628",".275","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa392886"
"Tyler Smith","Rangers","2","7","6","1","0","0","0","1","1","0","1","0","0","0","",".236",".298",".323",".621",".274","","62","0.0","0.0","","-0.3","0.1","0.0","","999.0","12490"
"Ronny Rodriguez","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".273",".366",".639",".274","","64","0.0","0.0","","0.0","0.0","0.0","","676.0","sa595953"
"Yu-Cheng Chang","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".271",".363",".634",".274","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa830276"
"Alexi Amarista","Tigers","24","94","87","21","4","0","2","9","9","6","17","1","2","1","",".239",".288",".343",".631",".273","","65","0.0","-0.6","","-4.1","0.1","-0.1","","740.0","9063"
"Mike Freeman","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".302",".320",".622",".273","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","11241"
"Dorssys Paulino","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".289",".333",".622",".273","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659464"
"Donovan Solano","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".288",".341",".628",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","8623"
"Eddy Alvarez","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".307",".610",".273","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa806877"
"Joe Sclafani","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".299",".317",".616",".273","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658257"
"Luis Sardinas","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".291",".337",".629",".273","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","13153"
"Alex Mejia","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".337",".626",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13877"
"Matt Reynolds","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".291",".330",".621",".272","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","13788"
"Bengie Gonzalez","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".296",".323",".619",".272","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa454764"
"A.J. Simcox","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".282",".347",".628",".272","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658901"
"Oscar Tejeda","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".277",".347",".624",".271","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa392406"
"Richard Urena","Blue Jays","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".241",".278",".351",".629",".271","","63","0.0","0.0","","-0.6","0.1","0.0","","692.0","16411"
"Shawn O'Malley","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".294",".315",".609",".270","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","9629"
"Sergio Alcantara","Tigers","11","46","42","10","2","0","0","4","4","3","7","0","1","1","",".240",".294",".319",".613",".270","","62","-0.1","0.0","","-2.2","0.3","0.0","","999.0","sa739641"
"Daniel Castro","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".290",".333",".623",".270","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","15450"
"Adam Rosales","Phillies","19","76","69","14","3","0","2","7","8","5","25","1","1","0","",".209",".269",".358",".627",".270","","62","0.0","-0.4","","-3.7","0.2","-0.1","","999.0","9682"
"Calten Daal","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".328",".616",".270","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa729572"
"Edmundo Sosa","Cardinals","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".247",".285",".334",".619",".269","","63","0.0","0.0","","-0.6","0.2","0.0","","999.0","sa736859"
"Danny Espinosa","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".278",".344",".622",".268","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","9219"
"Luis Guillorme","Mets","5","20","18","4","1","0","0","2","1","2","3","0","0","0","",".237",".302",".296",".599",".268","","65","0.0","0.0","","-0.9","0.1","0.0","","999.0","sa737882"
"Gustavo Pierre","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".269",".353",".622",".268","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa503319"
