"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Michael Saunders","Phillies","118","486","423","102","23","2","17","53","58","54","131","3","3","2","",".240",".328",".423",".751",".325","","101","0.8","-3.8","","1.5","-10.1","0.7","","355.4","9981"
"Yasmany Tomas","Diamondbacks","115","474","440","117","24","2","19","52","64","26","114","2","4","3","",".267",".309",".455",".764",".324","","95","-1.6","-8.4","","-4.6","-14.4","-0.4","","185.0","17171"
"Joey Gallo","Rangers","46","180","155","34","6","1","9","22","25","21","65","1","1","1","",".217",".314",".444",".758",".323","","97","0.2","0.6","","-0.4","-2.3","0.3","","393.2","14128"
"Brett Gardner","Yankees","126","561","490","127","24","4","12","71","53","57","110","6","12","5","",".258",".340",".395",".736",".323","","101","2.0","2.0","","2.3","-4.3","1.8","","280.5","9927"
"Christin Stewart","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".316",".430",".746",".322","","100","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858826"
"Randal Grichuk","Cardinals","124","497","458","114","25","3","22","56","70","29","132","4","6","4","",".248",".296",".463",".759",".322","","100","0.6","5.0","","0.4","-0.2","1.6","","223.5","10243"
"Howie Kendrick","Phillies","115","488","441","123","24","2","9","51","47","37","88","3","7","4","",".280",".337",".404",".741",".321","","99","-0.8","0.4","","-1.5","-5.1","0.9","","324.7","4229"
"Alex Gordon","Royals","126","529","460","114","23","2","15","60","57","54","134","9","6","3","",".248",".335",".404",".739",".321","","98","0.7","8.0","","-0.9","1.7","1.9","","326.1","5209"
"Josh Hamilton","Rangers","10","40","37","9","2","0","2","5","5","3","11","0","0","0","",".254",".311",".442",".753",".321","","96","0.0","0.0","","-0.2","-0.9","0.0","","784.8","1875"
"Rob Refsnyder","Yankees","42","161","144","39","8","0","3","18","17","14","27","1","3","1","",".274",".341",".396",".737",".320","","99","-0.2","-1.4","","-0.4","-1.2","0.4","","836.0","13770"
"Jesse Winker","Reds","12","50","44","11","2","0","1","5","5","5","9","0","0","0","",".263",".346",".391",".736",".320","","96","0.0","0.0","","-0.3","-0.6","0.1","","999.0","sa657865"
"Odubel Herrera","Phillies","144","641","573","157","26","4","12","74","58","53","131","6","19","10","",".273",".340",".397",".736",".319","","98","0.5","1.4","","-1.5","3.8","2.3","","137.3","11476"
"Scott Schebler","Reds","108","441","400","101","17","4","17","49","57","28","99","8","5","3","",".252",".312",".440",".752",".319","","95","0.4","-0.2","","-2.2","-5.6","0.6","","367.3","12225"
"Darin Ruf","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".310",".433",".743",".319","","97","0.0","0.0","","0.0","0.0","0.0","","993.7","9929"
"Denard Span","Giants","126","572","513","142","28","5","8","69","45","47","70","3","13","6","",".276",".338",".393",".731",".319","","101","1.1","-5.2","","2.0","-3.1","1.7","","331.4","8347"
"Clint Robinson","Nationals","27","105","93","24","5","0","3","11","12","10","19","1","1","0","",".260",".334",".399",".733",".319","","96","-0.3","-0.4","","-0.9","-3.0","0.0","","812.3","6908"
"Robbie Grossman","Twins","76","299","257","64","12","1","6","32","30","36","70","2","4","3","",".251",".346",".377",".723",".318","","97","-0.1","-3.0","","-1.3","-7.8","0.1","","615.6","5254"
"Mark Canha","Athletics","52","215","194","49","10","1","7","25","24","16","49","3","3","2","",".255",".318",".418",".736",".318","","102","0.0","-0.9","","0.5","-3.6","0.4","","688.3","11445"
"Andre Ethier","Dodgers","60","230","204","52","10","2","6","23","25","20","46","3","2","1","",".256",".328",".410",".738",".318","","101","-0.4","-1.0","","-0.1","-4.5","0.3","","621.7","6265"
"Ji-Man Choi","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".332",".401",".733",".318","","103","0.0","0.0","","0.0","0.0","0.0","","990.7","5452"
"Franklin Gutierrez","Dodgers","44","188","169","41","8","0","8","23","23","15","54","2","1","1","",".241",".307",".433",".740",".318","","101","-0.2","-1.0","","-0.1","-4.1","0.2","","803.1","3255"
"Nick Markakis","Braves","144","616","542","147","29","1","10","66","59","62","88","4","2","1","",".270",".347",".385",".731",".318","","96","-1.2","-3.2","","-4.3","-10.4","0.5","","332.5","5930"
"Kevin Kiermaier","Rays","137","594","536","140","28","5","15","71","60","44","108","5","20","10","",".261",".321",".414",".736",".318","","101","1.8","18.5","","2.2","20.7","4.4","","197.5","11038"
"Tyler Naquin","Indians","109","418","372","97","18","3","10","47","47","35","112","4","8","4","",".261",".329",".406",".735",".317","","96","0.2","-4.4","","-1.8","-3.1","1.0","","317.4","13359"
"Avisail Garcia","White Sox","113","449","407","107","17","1","14","48","52","32","108","5","6","4","",".262",".321",".413",".734",".317","","96","-0.7","-2.4","","-2.7","-10.9","0.2","","455.3","5760"
"Gerardo Parra","Rockies","80","325","301","84","18","2","7","35","36","17","57","2","6","4","",".277",".319",".421",".740",".317","","78","-0.3","0.0","","-9.1","-5.6","-0.4","","400.6","8553"
"Steven Moya","Tigers","39","157","147","38","7","1","7","18","22","7","42","1","1","1","",".256",".290",".461",".750",".317","","96","0.0","-1.0","","-0.7","-3.4","0.1","","671.2","11854"
"Carlos Gomez","Rangers","125","543","486","123","27","2","16","68","58","40","136","9","19","8","",".253",".319",".414",".733",".316","","93","1.4","2.5","","-3.4","4.6","2.0","","161.7","4881"
"Garrett Jones","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".303",".438",".740",".316","","96","0.0","0.0","","0.0","0.0","0.0","","999.0","2714"
"Corey Dickerson","Rays","123","511","469","118","27","2","19","58","65","34","121","3","3","2","",".252",".304",".443",".747",".316","","99","-0.3","-0.3","","-0.7","-12.5","0.4","","272.3","10762"
"Raimel Tapia","Rockies","6","27","25","7","1","0","0","3","3","1","4","0","1","1","",".293",".324",".410",".734",".316","","77","0.0","0.2","","-0.8","-0.1","0.0","","496.5","14350"
"Scott Van Slyke","Dodgers","35","139","122","29","6","0","4","15","16","14","34","2","2","1","",".240",".325",".402",".727",".316","","99","-0.3","0.4","","-0.4","-2.7","0.1","","993.7","4365"
"Oswaldo Arcia","Diamondbacks","28","113","102","24","5","1","5","13","15","8","35","1","1","1","",".235",".298",".443",".742",".315","","89","-0.1","-1.2","","-1.6","-3.0","-0.1","","884.2","10306"
"Brandon Drury","Diamondbacks","113","456","421","113","26","1","12","46","52","27","78","3","3","2","",".268",".315",".419",".734",".315","","89","-0.7","-4.0","","-6.9","-3.4","0.4","","255.1","11615"
"Lonnie Chisenhall","Indians","99","389","354","93","20","2","10","43","46","26","74","3","4","2","",".263",".317",".418",".735",".315","","95","0.6","0.5","","-2.0","-4.5","0.7","","487.7","7571"
"Eric Filia","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".275",".325",".400",".725",".315","","100","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827359"
"Andrew Lambo","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".307",".428",".735",".315","","100","0.0","0.0","","0.0","0.0","0.0","","999.0","5386"
"Mitch Haniger","Mariners","118","470","421","105","20","2","15","52","55","37","102","6","6","4","",".249",".315",".414",".729",".315","","99","-0.2","5.1","","-0.6","-0.8","1.5","","271.1","14274"
"Mark Zagunis","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".330",".387",".716",".314","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827207"
"Mac Williamson","Giants","79","307","276","70","13","1","10","31","36","23","75","4","3","2","",".253",".317",".414",".731",".314","","98","-0.3","0.8","","-1.0","-3.8","0.5","","809.6","14158"
"Rickie Weeks Jr.","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".316",".406",".722",".314","","88","0.0","0.0","","0.0","0.0","0.0","","920.9","1849"
"Tommy Pham","Cardinals","37","150","133","33","6","1","4","16","16","14","41","1","3","2","",".252",".325",".397",".722",".314","","94","0.3","-0.4","","-0.8","-1.9","0.2","","787.2","2967"
"Desmond Jennings","Reds","65","271","239","58","12","1","8","29","29","26","61","2","5","2","",".243",".321",".398",".720",".314","","92","0.6","-0.3","","-2.2","-3.7","0.3","","885.0","1965"
"Adam Duvall","Reds","127","537","492","115","22","3","26","61","77","34","141","6","5","3","",".233",".289",".450",".739",".314","","91","0.5","3.7","","-5.2","-3.5","0.9","","153.5","10950"
"Danny Valencia","Mariners","95","386","353","90","18","1","13","42","47","27","89","2","2","1","",".256",".310",".421",".731",".314","","99","-1.3","-0.8","","-1.9","-8.1","0.3","","318.9","6364"
"Shane Peterson","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".326",".395",".720",".313","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","7423"
"Jay Bruce","Mets","116","481","433","102","22","3","20","54","64","41","109","2","4","3","",".234",".302",".440",".742",".313","","97","-0.4","-3.4","","-2.2","-9.4","0.4","","192.9","9892"
"Torii Hunter","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".312",".415",".727",".313","","93","0.0","0.0","","0.0","0.0","0.0","","999.0","731"
"Aaron Hicks","Yankees","85","325","287","71","14","1","8","37","35","32","63","1","6","3","",".249",".325",".395",".719",".313","","94","0.4","1.7","","-2.0","-0.7","0.8","","650.5","5297"
"Andrew Toles","Dodgers","84","336","312","86","19","2","7","35","36","17","61","3","12","7","",".276",".316",".413",".729",".313","","97","0.2","3.7","","-1.0","-0.2","1.0","","339.0","13414"
"Jake Smolinski","Athletics","33","127","114","29","6","1","3","14","14","9","21","2","1","1","",".256",".317",".402",".719",".312","","98","-0.1","-0.1","","-0.4","-0.9","0.3","","840.5","5408"
"Nori Aoki","Astros","92","362","324","88","15","2","5","41","34","27","39","5","8","4","",".271",".334",".377",".711",".312","","96","-0.7","-1.3","","-2.3","-5.9","0.4","","586.7","13075"
"Daniel Dorn","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".311",".413",".724",".312","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","1050"
"Jose Martinez","Cardinals","24","97","88","24","4","0","2","10","10","7","16","1","1","1","",".275",".330",".389",".718",".312","","93","0.0","-0.3","","-0.9","-1.5","0.1","","999.0","7996"
"Ryan Rua","Rangers","75","292","263","65","12","1","10","33","35","22","75","4","5","3","",".247",".311",".412",".723",".311","","89","0.0","-0.1","","-3.8","-5.5","0.1","","545.8","12409"
"Christian Marrero","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".326",".385",".710",".311","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","sa326115"
"Brock Holt","Red Sox","99","396","354","96","20","2","4","43","38","33","75","3","6","3","",".271",".336",".372",".708",".311","","88","1.2","-0.4","","-4.4","-0.7","0.9","","576.3","9345"
"Jordan Patterson","Rockies","12","47","42","11","2","0","1","5","5","3","11","1","1","0","",".255",".316",".401",".717",".310","","74","0.0","0.0","","-1.5","-0.8","-0.1","","830.7","15119"
"Brandon Nimmo","Mets","15","62","55","14","2","0","1","6","6","5","12","1","1","1","",".258",".328",".382",".711",".310","","95","0.0","0.0","","-0.4","-0.8","0.1","","705.1","12927"
"Rob Segedin","Dodgers","8","32","29","7","1","0","1","3","4","2","7","0","0","0","",".246",".309",".406",".715",".310","","95","0.0","-0.3","","-0.2","-0.1","0.1","","857.4","11446"
"Allen Craig","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".322",".387",".709",".310","","87","0.0","0.0","","0.0","0.0","0.0","","984.7","3433"
"Angel Pagan","","92","366","334","90","17","2","6","36","37","25","55","1","7","4","",".270",".322",".392",".713",".310","","91","0.5","-2.1","","-3.5","-6.7","0.2","","507.3","2918"
"Dustin Ackley","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".313",".401",".714",".310","","92","0.0","0.0","","0.0","0.0","0.0","","881.7","10099"
"Chris Coghlan","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".327",".385",".712",".309","","90","0.0","0.0","","0.0","0.0","0.0","","717.4","6878"
