"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Kyle Higashioka","Yankees","8","30","28","6","1","0","1","3","4","2","7","0","0","0","",".230",".285",".400",".686",".293","","79","0.0","0.0","","-0.8","0.6","0.1","","999.0","5517"
"Nick Hundley","Giants","26","104","95","23","5","0","3","10","12","6","26","1","1","0","",".242",".290",".398",".688",".293","","80","-0.3","-0.5","","-2.9","1.7","0.2","","511.1","3376"
"Tomas Telis","Marlins","9","36","33","9","1","0","1","3","3","2","5","0","0","0","",".264",".306",".370",".676",".293","","79","0.0","-0.1","","-1.0","0.4","0.1","","655.1","10067"
"John Hicks","Tigers","45","180","167","42","8","1","5","18","20","9","46","1","3","2","",".249",".293",".388",".681",".293","","78","-0.2","-0.1","","-5.2","0.3","0.1","","634.6","12547"
"Raudy Read","Nationals","5","18","17","4","1","0","0","2","2","1","3","0","0","0","",".248",".292",".389",".681",".292","","75","0.0","0.0","","-0.6","0.4","0.0","","999.0","15766"
"Brett Nicholas","Rangers","8","29","27","7","1","0","1","3","3","2","7","0","0","0","",".252",".299",".379",".678",".292","","75","-0.1","0.0","","-1.0","0.6","0.1","","687.7","11192"
"Blake Swihart","Red Sox","12","44","39","10","2","0","1","5","5","3","11","0","1","0","",".242",".304",".368",".672",".292","","75","0.0","0.0","","-1.3","-1.2","-0.1","","533.9","13176"
"Carlos Perez","Angels","8","29","27","7","1","0","1","3","3","2","5","0","0","0","",".246",".301",".371",".673",".292","","82","0.0","0.2","","-0.7","0.9","0.1","","693.4","10642"
"Tony Wolters","Rockies","33","128","113","28","5","1","2","12","12","13","29","1","1","1","",".246",".325",".350",".675",".291","","61","0.0","0.6","","-6.5","3.4","0.1","","596.5","11470"
"Ashley Graeter","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".301",".377",".677",".291","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa660832"
"Jett Bandy","Brewers","12","48","43","10","2","0","2","5","5","3","11","1","0","0","",".230",".290",".384",".674",".291","","73","-0.1","0.1","","-1.8","1.1","0.1","","672.9","12508"
"Hector Sanchez","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".282",".398",".681",".290","","79","0.0","0.0","","0.0","0.0","0.0","","690.6","10289"
"Tim Federowicz","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".291",".384",".675",".290","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","8609"
"Cam Maron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".315",".342",".657",".290","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503041"
"Michael McKenry","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".311",".341",".653",".290","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","9628"
"Austin Hedges","Padres","105","415","384","89","17","1","16","40","50","23","102","3","3","2","",".232",".279",".407",".686",".290","","79","-0.2","3.6","","-11.4","12.4","1.4","","268.8","12976"
"Dioner Navarro","","49","191","173","41","7","1","5","18","21","14","40","1","2","1","",".235",".295",".373",".668",".289","","75","-0.8","-1.3","","-6.7","2.7","0.2","","999.0","3179"
"Zack Collins","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".301",".354",".655",".288","","78","0.0","0.0","","0.0","0.0","0.0","","658.4","sa738390"
"Luis Torrens","Padres","8","29","26","6","1","0","1","3","3","2","6","0","0","0","",".241",".308",".361",".669",".288","","78","0.0","0.0","","-0.8","0.6","0.1","","700.7","15905"
"Caleb Joseph","Orioles","59","226","207","49","9","1","7","24","25","13","53","2","2","1","",".236",".286",".385",".671",".288","","75","-0.4","0.9","","-7.3","5.8","0.6","","485.4","7087"
"Charlie Cutler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".310",".344",".653",".288","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa454748"
"Clint Coulter","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".288",".378",".666",".287","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657922"
"Rob Brantly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".287",".381",".668",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","10655"
"Isiah Kiner-Falefa","Rangers","3","12","11","3","0","0","0","1","1","1","2","0","0","0","",".256",".313",".338",".652",".287","","71","0.0","0.0","","-0.5","0.2","0.0","","999.0","sa737855"
"John Ryan Murphy","Diamondbacks","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".237",".294",".368",".662",".287","","68","0.0","0.0","","-0.5","0.3","0.0","","999.0","10346"
"Pedro Severino","Nationals","8","30","27","7","1","0","1","3","3","2","6","0","0","0","",".248",".298",".364",".662",".287","","72","0.0","0.0","","-1.1","0.6","0.1","","651.8","14523"
