"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"180","Chris Bassitt","Athletics","pitcher","12304",147,4.64,1.4,0,8,116,1.47,4.04,""
"181","Richard Rodriguez","Pirates","pitcher","13549",60,3.78,1.22,3,3,67,1.46,4.03,""
"182","Jesus Luzardo","Athletics","pitcher","sa917981",92,4.21,1.33,0,6,82,1.46,4.03,""
"183","Brent Honeywell","Rays","pitcher","sa828706",74,4.1,1.25,0,5,73,1.43,3.94,""
"184","Wade Miley",NA,"pitcher","8779",132,4.36,1.43,0,8,102,1.43,3.93,""
"185","Alex Colome","White Sox","pitcher","6661",60,3.8,1.27,5,3,61,1.43,3.93,""
"186","A.J. Puk","Athletics","pitcher","sa738675",92,4.26,1.37,0,6,89,1.39,3.83,""
"187","Jace Fry","White Sox","pitcher","16159",60,3.56,1.31,3,3,70,1.36,3.74,""
"188","Darren O'Day","Braves","pitcher","3321",55,3.64,1.22,3,3,62,1.36,3.74,""
"189","Adam Ottavino",NA,"pitcher","1247",65,3.63,1.27,0,3,82,1.32,3.64,""
"190","Taylor Rogers","Twins","pitcher","13449",60,3.62,1.25,3,3,63,1.32,3.64,""
"191","Chase Anderson","Brewers","pitcher","6895",145,4.97,1.39,0,8,125,1.31,3.61,""
"192","Reynaldo Lopez","White Sox","pitcher","16400",175,5.01,1.41,0,8,152,1.3,3.57,""
"193","Nick Kingham","Pirates","pitcher","11694",119,4.53,1.35,0,6,101,1.29,3.56,""
"194","Pedro Strop","Cubs","pitcher","4070",60,3.65,1.3,4,3,63,1.29,3.55,""
"195","Matt Shoemaker",NA,"pitcher","4776",90,4.35,1.29,0,5,83,1.25,3.43,""
"196","Dan Straily","Marlins","pitcher","9460",156,4.82,1.39,0,7,131,1.23,3.39,""
"197","CC Sabathia","Yankees","pitcher","404",108,4.57,1.38,0,7,92,1.2,3.29,""
"198","Shawn Armstrong","Mariners","pitcher","12857",60,4.03,1.33,5,3,66,1.18,3.24,""
"199","Carl Edwards Jr.","Cubs","pitcher","13607",60,3.8,1.35,3,3,74,1.15,3.17,""
"200","Jaime Garcia",NA,"pitcher","8137",141,4.53,1.45,0,8,112,1.14,3.14,""
"201","Dinelson Lamet","Padres","pitcher","17186",73,4.03,1.32,0,4,82,1.1,3.02,""
"202","Forrest Whitley","Astros","pitcher","sa917930",92,4.59,1.38,0,6,92,1.05,2.9,""
"203","Seung Hwan Oh","Rockies","pitcher","18719",65,4.57,1.3,6,3,66,1.05,2.88,""
"204","Yoshihisa Hirano","Diamondbacks","pitcher","19756",65,4.36,1.38,8,3,59,1.01,2.77,""
"205","Hector Rondon","Astros","pitcher","2391",55,3.59,1.21,1,3,61,1.01,2.77,""
"206","Zach Britton",NA,"pitcher","3240",65,3.01,1.32,0,3,63,0.95,2.61,""
"207","Frankie Montas","Athletics","pitcher","14309",132,4.64,1.41,0,7,106,0.93,2.57,""
"208","Justus Sheffield","Mariners","pitcher","17285",139,4.62,1.47,0,7,124,0.89,2.44,""
"209","Cam Bedrosian","Angels","pitcher","13360",50,4.05,1.35,7,3,47,0.88,2.42,""
"210","Andrew Chafin","Diamondbacks","pitcher","12988",60,3.5,1.34,2,3,64,0.88,2.42,""
"211","Shelby Miller",NA,"pitcher","10197",94,4.51,1.37,0,6,83,0.87,2.41,""
"212","Matt Andriese","Diamondbacks","pitcher","12022",95,4.36,1.34,0,5,82,0.85,2.33,""
"213","Caleb Ferguson","Dodgers","pitcher","19349",59,3.53,1.24,0,3,63,0.84,2.31,""
"214","Drew Pomeranz",NA,"pitcher","11426",136,4.72,1.47,0,8,115,0.83,2.28,""
"215","Cody Allen",NA,"pitcher","12183",65,3.91,1.27,0,3,74,0.82,2.26,""
"216","Trent Thornton","Blue Jays","pitcher","sa857695",86,4.45,1.29,0,5,73,0.82,2.26,""
"217","Ryan Yarbrough","Rays","pitcher","16502",114,4.5,1.38,0,6,91,0.82,2.25,""
