"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Travis d'Arnaud","Mets","91","384","350","89","19","1","14","41","48","27","65","3","1","0",".255",".313",".431",".744",".316","-2.2","-0.5","1.5","289.9","7739"
"Victor Caratini","Cubs","6","26","23","6","1","0","1","3","3","2","5","0","0","0",".264",".327",".408",".735",".315","-0.2","0.0","0.1","526.4","14968"
"Salvador Perez","Royals","125","525","495","129","25","1","23","58","74","20","99","5","1","0",".260",".294",".458",".752",".315","6.0","-1.8","2.8","97.2","7304"
"Wilson Ramos","Rays","114","480","446","116","18","0","20","49","68","27","83","2","1","0",".260",".303",".437",".739",".312","0.3","-2.0","2.1","162.0","1433"
"Welington Castillo","White Sox","91","384","350","85","14","0","16","40","50","27","105","4","1","0",".244",".303",".425",".728",".311","0.0","-1.2","1.6","171.4","3256"
"Yadier Molina","Cardinals","131","550","507","139","27","1","12","54","67","32","73","4","6","3",".275",".320",".404",".725",".310","6.6","-2.7","2.5","148.3","7007"
"Chance Sisco","Orioles","61","256","230","58","12","0","6","28","28","19","66","4","2","1",".253",".319",".391",".710",".308","-1.7","-0.1","0.8","342.4","15694"
"Kurt Suzuki","Braves","60","254","231","59","12","0","7","24","32","15","35","5","0","0",".257",".314",".399",".713",".306","-1.7","-0.8","0.5","357.5","8259"
"Tucker Barnhart","Reds","84","352","311","80","17","1","6","30","36","34","59","2","2","1",".258",".333",".383",".716",".305","6.3","-0.9","1.6","328.3","10200"
"Francisco Mejia","Indians","20","86","80","21","4","0","3","10","11","4","15","1","1","1",".259",".301",".414",".715",".304","0.0","0.0","0.1","343.5","16403"
"Jason Castro","Twins","137","576","506","117","27","1","16","64","63","58","163","5","2","1",".231",".314",".384",".698",".304","3.9","-0.7","2.3","377.9","8722"
"Mitch Garver","Twins","15","64","57","14","3","0","2","7","7","6","16","0","0","0",".238",".313",".385",".698",".303","0.1","0.0","0.2","569.5","15161"
