"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Austin Romine","Tigers","60","250","230","59","13","1","8","27","29","14","55","2","2","1",".257",".303",".417",".720",".305","-0.1","-0.5","0.9","5491"
"Yan Gomes","Nationals","67","282","252","60","13","0","10","30","34","22","72","4","1","0",".237",".306",".411",".718",".302","1.5","-0.5","0.9","9627"
"Francisco Mejia","Padres","93","390","358","92","18","2","13","42","48","22","78","5","2","1",".257",".307",".431",".737",".310","-0.6","0.1","0.8","16403"
"Tucker Barnhart","Reds","84","352","308","73","16","1","8","35","36","37","72","2","2","1",".238",".321",".376",".697",".297","3.0","-1.6","0.7","10200"
"Kyle Higashioka","Yankees","34","141","128","29","5","0","6","17","19","9","36","1","1","0",".223",".279",".419",".698",".293","-0.2","0.1","0.7","5517"
"Russell Martin","","27","115","97","22","4","0","4","13","12","15","29","2","1","0",".224",".336",".382",".718",".312","-0.1","-0.4","0.6","4616"
"Francisco Cervelli","Marlins","75","314","269","63","12","2","7","31","31","34","75","7","2","1",".235",".335",".370",".705",".309","-0.6","-0.8","0.6","5275"
"Kevin Plawecki","Red Sox","46","193","171","42","9","1","5","22","22","16","39","3","1","1",".246",".319",".393",".712",".305","-0.1","-0.4","0.6","13807"
"Kurt Suzuki","Nationals","73","307","278","74","14","0","13","36","43","19","41","7","1","0",".267",".326",".460",".785",".330","-2.5","-1.0","0.6","8259"
"Robinson Chirinos","Rangers","87","365","311","70","15","1","14","43","44","39","106","9","2","1",".225",".327",".415",".742",".318","-1.0","-1.5","0.6","3142"
"Curt Casali","Reds","61","257","227","54","11","0","8","27","29","24","61","2","1","0",".236",".312",".396",".708",".303","0.0","-0.2","0.6","12510"
"Cam Gallagher","Royals","27","115","104","26","5","0","2","12","12","8","21","1","1","0",".249",".310",".371",".681",".293","0.0","-0.2","0.5","12981"
"Stephen Vogt","Diamondbacks","67","280","254","62","15","1","11","32","36","21","64","2","2","1",".245",".305",".438",".743",".312","-0.9","-0.7","0.5","5000"
"Omar Narvaez","Brewers","85","358","313","81","13","1","11","40","43","38","67","3","1","0",".260",".343",".414",".757",".325","-2.9","-0.7","0.5","13338"
"Austin Allen","Athletics","50","212","194","47","11","0","6","23","25","13","48","2","1","0",".241",".294",".400",".694",".292","-0.6","0.1","0.5","18083"
"Sandy Leon","Indians","58","243","220","48","10","0","6","25","25","17","63","2","1","1",".217",".278",".346",".623",".269","0.6","-0.6","0.5","5273"
